data,DU_30,DU_60,DU_90,DU_120,DU_180,DU_360,DU_720,DU_1080,DU_1800
2017-01-01,,,,,0.17,12.43,,12.24,12.02
2017-01-02,11.46,626643.0,159294.0,,,,,,
2017-01-03,11.46,629209.0,162103.0,19882.0,,,5429.0,,
2017-01-04,11.48,629911.0,161777.0,19942.0,,,5477.0,,
2017-01-05,11.36,627918.0,162793.0,19899.0,,,5488.0,,
2017-01-06,11.38,628214.0,160182.0,19964.0,,,5521.0,,
2017-01-09,11.36,625331.0,162023.0,19887.0,,,5532.0,,
2017-01-10,11.32,625547.0,159556.0,19856.0,,,5552.0,,
2017-01-11,11.32,626910.0,159775.0,19954.0,,,5564.0,,
2017-01-12,10.98,623518.0,162307.0,19891.0,,,5547.0,,
2017-01-13,11.04,630484.0,162023.0,19886.0,,,5574.0,,
2017-01-16,10.99,626801.0,162616.0,,,,,,
2017-01-17,11.0,634631.0,163369.0,19827.0,,,5539.0,,
2017-01-18,11.0,642684.0,162817.0,19805.0,,,5556.0,,
2017-01-19,10.94,642165.0,162600.0,19732.0,,,5540.0,,
2017-01-20,10.88,636100.0,163568.0,19827.0,,,5555.0,,
2017-01-23,10.89,622673.0,165292.0,19800.0,,,5553.0,,
2017-01-24,10.88,627135.0,165473.0,19913.0,,,5601.0,,
2017-01-25,,624840.0,165479.0,20069.0,,,5656.0,,
2017-01-26,10.9,623333.0,165920.0,20101.0,,,5655.0,,
2017-01-27,10.87,622726.0,165573.0,20094.0,,,5661.0,,
2017-01-30,10.87,621660.0,163160.0,19971.0,,,5661.0,,
2017-01-31,10.83,623266.0,163894.0,19864.0,,,5615.0,,
2017-02-01,10.81,626561.0,164174.0,19891.0,0.0302,11.96,5643.0,11.74,11.46
2017-02-02,10.79,628038.0,164155.0,19885.0,,,5636.0,,
2017-02-03,10.74,628922.0,165074.0,20071.0,,,5667.0,,
2017-02-06,10.72,627503.0,128892.0,20052.0,,,5664.0,,
2017-02-07,10.68,628571.0,164037.0,20090.0,,,5674.0,,
2017-02-08,10.62,629874.0,165134.0,20054.0,,,5682.0,,
2017-02-09,10.62,628292.0,165359.0,20172.0,,,5715.0,,
2017-02-10,10.56,628550.0,167571.0,20269.0,,,5734.0,,
2017-02-13,10.54,628037.0,169075.0,20412.0,,,5764.0,,
2017-02-14,10.52,630744.0,169139.0,20504.0,,,5783.0,,
2017-02-15,10.5,628675.0,170992.0,20612.0,,,5819.0,,
2017-02-16,10.52,631137.0,171008.0,20620.0,,,5815.0,,
2017-02-17,10.45,630019.0,170551.0,20624.0,,,5839.0,,
2017-02-20,10.41,624086.0,172085.0,20624.0,,,5839.0,,
2017-02-21,10.34,626743.0,172905.0,20743.0,,,5866.0,,
2017-02-22,10.32,627515.0,172098.0,20776.0,,,5861.0,,
2017-02-23,10.19,627938.0,170793.0,20810.0,,,5836.0,,
2017-02-24,10.2,629780.0,169828.0,20822.0,,,5825.0,,
2017-02-27,,,,20837.0,,,5862.0,,
2017-02-28,,,,20812.0,,,5825.0,,
2017-03-01,10.14,628215.0,170660.0,21116.0,0.1519,11.36,5904.0,10.99,10.75
2017-03-02,10.15,630113.0,169185.0,20997.0,,,5861.0,,
2017-03-03,10.07,633709.0,170704.0,20954.0,,,5871.0,,
2017-03-06,10.03,632974.0,171034.0,20912.0,,,5849.0,,
2017-03-07,10.04,635652.0,170328.0,20901.0,,,5834.0,,
2017-03-08,10.06,637723.0,168442.0,20836.0,,,5838.0,,
2017-03-09,10.06,637453.0,167924.0,20777.0,,,5839.0,,
2017-03-10,9.87,638335.0,168404.0,20828.0,,,5862.0,,
2017-03-13,9.83,639245.0,169793.0,20846.0,,,5876.0,,
2017-03-14,9.87,643900.0,168472.0,20786.0,,,5857.0,,
2017-03-15,9.8,642012.0,170748.0,20860.0,,,5900.0,,
2017-03-16,9.82,643943.0,170293.0,20894.0,,,5901.0,,
2017-03-17,9.82,641253.0,168164.0,20911.0,,,5890.0,,
2017-03-20,9.8,637982.0,168715.0,20886.0,,,5902.0,,
2017-03-21,9.75,640188.0,165879.0,20653.0,,,5794.0,,
2017-03-22,9.76,643073.0,166467.0,20579.0,,,5822.0,,
2017-03-23,9.78,644339.0,166518.0,20619.0,,,5818.0,,
2017-03-24,9.69,644472.0,167131.0,20530.0,,,5829.0,,
