consulta,total,alcance,status,nivel,veiculo,usar
Copom Tombini,1471,completo,enumerável,1,Valor,True
Copom Ilan Goldfajn,924,completo,enumerável,1,Valor,True
Copom Roberto Campos Neto,1794,completo,enumerável,1,Valor,True
Copom Galípolo,966,completo,enumerável,1,Valor,True
Selic Tombini,1615,completo,enumerável,1,Valor,True
Selic Ilan Goldfajn,1043,completo,enumerável,1,Valor,True
Selic Roberto Campos Neto,2101,completo,enumerável,1,Valor,True
Selic Galípolo,1072,completo,enumerável,1,Valor,True
ata do Copom,5482,completo,enumerável,0,Valor,True
política monetária Tombini,2326,completo,enumerável,1,Valor,True
política monetária Ilan Goldfajn,1536,completo,enumerável,1,Valor,True
política monetária Roberto Campos Neto,3484,completo,enumerável,1,Valor,True
política monetária Galípolo,2059,completo,enumerável,1,Valor,True
meta de inflação Tombini,4178,completo,enumerável,1,Valor,True
meta de inflação Ilan Goldfajn,3591,completo,enumerável,1,Valor,True
meta de inflação Roberto Campos Neto,4278,completo,enumerável,1,Valor,True
meta de inflação Galípolo,3319,completo,enumerável,1,Valor,True
Relatório de Inflação Tombini,557,completo,enumerável,1,Valor,True
Relatório de Inflação Ilan Goldfajn,405,completo,enumerável,1,Valor,True
Relatório de Inflação Roberto Campos Neto,940,completo,enumerável,1,Valor,True
Relatório de Inflação Galípolo,465,completo,enumerável,1,Valor,True
Banco Central Tombini,3627,completo,enumerável,1,Valor,True
Banco Central Ilan Goldfajn,2472,completo,enumerável,1,Valor,True
Banco Central Roberto Campos Neto,5866,completo,enumerável,1,Valor,True
Banco Central Galípolo,2871,completo,enumerável,1,Valor,True
